step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
290,0.05405,0.98182,0.08101,0.98316,,
291,0.05826,0.98261,,,,
292,0.10052,0.9739,,,,
293,0.04977,0.97398,,,,
294,0.00057,1,,,,
295,0.02613,0.99083,,,,
296,0.00451,1,,,,
297,0.06835,0.97297,,,,
298,0.01291,1,,,,
299,0.02127,0.99083,,,,
300,0.05566,0.98374,0.01692,0.99242,,
301,0.0378,0.98829,,,,
302,0.01824,0.99697,,,,
303,0.05043,0.98031,,,,
304,0.0008,1,,,,
305,0.10131,0.96947,,,,
306,0.00766,1,,,,
307,0.03945,0.97945,,,,
308,0.00659,1,,,,
309,0.01844,0.98864,,,,
310,0.02057,0.99231,0.02345,0.99248,,
311,0.04246,0.99145,,,,
312,0.00034,1,,,,
313,0.01132,0.99548,,,,
314,0.02538,0.98387,,,,
315,0.00903,0.99713,,,,
316,0.02633,0.98872,,,,
317,0.00056,1,,,,
318,0.05804,0.97143,,,,
319,0.02714,0.99219,,,,
320,0.04681,0.976,0.00282,1,,
321,0.03732,0.98876,,,,
322,0.02154,0.98973,,,,
323,0.10068,0.9661,,,,
324,0.00082,1,,,,
325,6.00E-05,1,,,,
326,0.10379,0.97071,,,,
327,0.0249,0.98101,,,,
328,0.06225,0.96988,,,,
329,0.07399,0.98765,,,,
330,0.00075,1,0.03245,0.98125,,
331,0.0733,0.97619,,,,
332,0.04252,0.97778,,,,
333,0.04483,0.97143,,,,
334,0.06042,0.97321,,,,
335,0.05161,0.98225,,,,
336,0.0581,0.97087,,,,
337,0.03111,0.98674,,,,
338,0.04946,0.98855,,,,
339,0.01596,0.99213,,,,
340,0.03691,0.98561,0.04631,0.98777,,
341,0.03405,0.98599,,,,
342,0.07025,0.97492,,,,
343,0.04531,0.97647,,,,
344,0.00026,1,,,,
345,0.00157,1,,,,
346,0.02275,0.98872,,,,
347,0.09659,0.96104,,,,
348,0.00734,0.99528,,,,
349,0.00071,1,,,,
350,0.06853,0.96804,0.0442,0.98561,,
351,0.02061,0.99225,,,,
352,0.05481,0.97445,,,,
353,0.0406,0.98726,,,,
354,0.03729,0.98758,,,,
355,0.00167,1,,,,
356,0.03009,0.99301,,,,
357,0.04189,0.99063,,,,
358,0.02622,0.99189,,,,
359,0.0114,0.99691,,,,
360,0.00336,1,0.07936,0.96635,,
361,0.08775,0.98413,,,,
362,0.06096,0.98182,,,,
363,0.12534,0.97872,,,,
364,0.02954,0.98684,,,,
365,0.01404,1,,,,
366,0.02597,0.98545,,,,
367,0.03599,0.98901,,,,
368,0.0004,1,,,,
369,0.03272,0.98671,,,,
370,0.03289,0.99471,0.05389,0.98195,,
371,0.08611,0.965,,,,
372,0.01664,0.99248,,,,
373,0.0152,0.99419,,,,
374,0.01668,0.99315,,,,
375,0.0319,0.99315,,,,
376,0.03811,0.98571,,,,
377,0.0127,0.99704,,,,
378,0.04607,0.98294,,,,
379,0.06512,0.99138,,,,
380,0.02057,0.99105,0.04504,0.97101,,
381,5.00E-05,1,,,,
382,0.05192,0.9812,,,,
383,0.03833,0.98052,,,,
384,0.05811,0.98261,,,,
385,0.10041,0.96403,,,,
386,0.01741,0.99563,,,,
387,0.00032,1,,,,
388,0.00018,1,,,,
389,0.00021,1,,,,
390,0.03422,0.98726,0.00014,1,,
391,0.07525,0.98206,,,,
392,0.03732,0.99254,,,,
393,0.08315,0.98095,,,,
394,0.059,0.98176,,,,
395,0.01985,0.98897,,,,
396,0.05846,0.9881,,,,
397,0.06018,0.97561,,,,
398,0.03201,0.99216,,,,
399,0.04194,0.98137,,,,
400,0.04543,0.98553,0.02987,0.98762,,
401,0.07006,0.97419,,,,
402,0.03517,0.99145,,,,
403,0.0044,1,,,,
